,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,specimen_id,total_length,total_surface,total_volume
283,67.7797362645,,0.904720714122,0.221544928662,35.9848484848,0.82453089645,,514351601,6.0,293.794587748,315.870599918,dendrite-only,33,72,2483,6,39,34.16,385.017283861,274.804401465,0.1144,0.1144,0.28,89.7862952565,483101699,2821.38618841,1960.61234019,125.244087498
284,72.1973600454,,0.88582733822,0.212374781766,45.0416666667,0.912632231905,,491119971,4.0,160.408817713,172.445455885,dendrite-only,24,56,2298,8,32,45.1954,229.905165143,264.70621438,0.1144,0.1144,0.28,223.111920373,320654829,2661.69100942,1772.27137016,95.6515877452
285,67.0428988144,,0.883763373402,0.335695327465,57.8571428571,0.968697071841,,491120144,4.0,223.396840744,266.506453727,dendrite-only,14,35,1930,7,21,82.544,327.80506868,295.458758469,0.1144,0.1144,0.28,419.547564378,321923685,2222.59585443,2341.86066708,218.63494831
286,71.6165678406,,0.903800482423,0.535946206712,64.0537634409,0.998834999774,,566350199,9.0,464.523846162,515.02739095,full,47,99,6012,5,52,136.1066,609.701768541,455.421383398,0.1144,0.1144,0.28,395.230262574,529889679,7023.15089203,11915.5209797,1800.2984665
287,79.6425675372,,0.864104909971,0.585623089438,48.0476190476,0.964918157097,,519263589,11.0,487.954238892,549.47083824,dendrite-only,21,49,2213,7,28,59.2598,555.308733102,272.012499536,0.1144,0.1144,0.28,316.73032946,501845152,2550.42816702,4690.11106531,763.175721835
288,69.6371594908,,0.854195684855,0.22544121753,44.1666666667,0.973048948392,,491253934,15.0,638.654298597,659.289747986,dendrite-only,24,56,2347,8,32,153.301,697.754516751,180.530270699,0.1144,0.1144,0.28,138.810256964,476263004,2695.76154428,1907.09321452,111.510598504
289,69.0129842129,,0.909412316221,0.539830933994,59.62,0.84534485288,,491119570,4.0,325.767695598,342.953154293,dendrite-only,25,57,3076,7,32,112.1462,504.693999245,359.265995141,0.1144,0.1144,0.28,514.782730048,313861608,3538.8767798,6042.75039402,945.615864572
290,78.9356938932,,0.919951904913,0.33757491408,53.0882352941,0.771828456768,,496085260,9.0,648.068883537,717.241478217,dendrite-only,17,43,2032,9,26,114.4626,770.886006235,218.000911643,0.1144,0.1144,0.28,306.645819998,486110216,2329.08521886,2472.57375716,240.499645505
291,83.2858684901,,0.908487821183,0.187570505016,90.03125,0.890005238859,,623320232,3.0,306.285229652,315.520990191,full,16,38,3000,6,22,64.9729,551.043324383,374.413197731,0.1144,0.1144,0.28,65.9041111789,488386504,3462.93347382,2037.56013741,107.626503909
292,82.5848531237,,0.864509250051,0.410876936378,52.5333333333,0.837388514983,,510989433,7.0,496.142598401,554.99857274,dendrite-only,30,68,3250,8,38,77.56,574.236043943,345.069611456,0.1144,0.1144,0.28,179.665395158,485837504,3658.13026005,4729.36856076,568.859645187
293,78.0564452494,,0.906973527396,0.366243317692,40.5322580645,0.916828515621,,491120155,5.0,442.596107903,459.94843638,dendrite-only,31,68,2570,6,37,70.5653,487.339365201,308.810118684,0.1144,0.1144,0.28,327.443089047,468193142,2990.00700272,3440.58264426,340.816026128
294,80.344743421,,0.888095929627,0.406562681004,89.5,1.0,,563818907,14.0,803.631234251,825.501564668,full,49,105,8912,7,56,143.2707,1034.92922371,571.782076672,0.1144,0.1144,0.28,390.576266146,548408551,10343.7478141,13194.9085745,1485.40878893
295,71.0061579507,,0.879302491235,0.351489681236,43.4342105263,0.839319025114,,495335458,9.0,563.470779979,608.201145028,dendrite-only,37,88,3656,12,50,119.884,661.567781054,282.513631932,0.1144,0.1144,0.28,757.149015918,468120757,4369.05003741,4815.88460112,467.892152533
296,57.9450121648,,0.88834665404,0.324303354599,46.3928571429,0.906580326531,,492100960,4.0,335.209973081,352.580513781,dendrite-only,14,35,1512,7,21,63.4265,376.166990455,275.145538261,0.1144,0.1144,0.28,548.762980748,480640846,1732.43716099,1767.61647467,152.610605701
297,70.5146895297,,0.899269033411,0.166735467605,44.4130434783,0.889929005705,,495337195,6.0,289.008858812,316.441820505,dendrite-only,23,49,2104,3,26,64.176,415.676982308,233.411667218,0.1144,0.1144,0.28,31.5321874133,482435718,2384.46870764,1249.8402496,57.2992611161
298,50.4369971788,,0.840003475051,0.267422796255,32.8333333333,0.91098387956,,492413487,5.0,176.340061039,217.789429007,dendrite-only,15,32,1002,2,17,54.0229,262.57387521,211.862760821,0.1144,0.1144,0.28,169.740669912,475625477,1233.23069022,1038.61609737,71.6569660469
299,55.4734001124,,0.882621226634,0.423783080313,53.8157894737,0.785947733063,,491458970,6.0,433.675688357,450.224380843,dendrite-only,19,43,2148,5,24,67.48,469.151885094,225.77568677,0.1144,0.1144,0.28,385.328302687,397351623,2149.88388195,2867.1911632,355.842590056
300,72.412684701,,0.92597797654,0.589543927952,56.1149425287,0.965896628519,,582654114,6.0,307.329410992,354.341525513,full,44,94,4936,6,50,130.0617,419.433587444,403.453475483,0.1144,0.1144,0.28,412.997690888,541545716,5879.86669962,11142.6031458,1920.87563495
